INDICE;ORDEM;CHAVE;DESCRICAO;
 SZ0; 1; Z0_FILIAL+Z0_CODPOST+Z0_CODRESP                                                                                                                                 ; Cod.Posto+Cod.Respons.                                                ;
 SZ0; 2; Z0_FILIAL+Z0_CODPOST+Z0_NOME                                                                                                                                    ; Cod.Posto+Nome                                                        ;
 SZ1; 1; Z1_FILIAL+Z1_CODPOST                                                                                                                                            ; Cod.Posto                                                             ;
 SZ2; 1; Z2_FILIAL+Z2_CODPOST+Z2_LOCALID                                                                                                                                 ; Cod. Posto+Localidade                                                 ;
 SZ2; 2; Z2_FILIAL+Z2_LOCALID                                                                                                                                            ; Localidade                                                            ;
 SZ2; 3; Z2_FILIAL+Z2_DESCRI                                                                                                                                             ; Desc.Local.                                                           ;
 SZ3; 1; Z3_FILIAL+Z3_CODPOST+Z3_USER                                                                                                                                    ; Cod.Posto+Usuario                                                     ;
 SZ4; 1; Z4_FILIAL+Z4_CODPOST+Z4_USER+Z4_LOCALID                                                                                                                         ; Filial+Cod.Posto+Usuario+Localidade                                   ;
 SZ5; 1; Z5_FILIAL+Z5_CODPOST+Z5_CC                                                                                                                                      ; Cod.Posto+CC                                                          ;
 SZ5; 2; Z5_FILIAL+Z5_CC+Z5_CODPOST                                                                                                                                      ; CC+Cod.Posto                                                          ;
 SZ6; 1; Z6_FILIAL+Z6_CODPOST+Z6_CODIGO                                                                                                                                  ; Cod.Posto+Codigo                                                      ;
 SZ7; 1; Z7_FILIAL+Z7_CODPOST                                                                                                                                            ; Cod.Posto                                                             ;
 SZ8; 1; Z8_FILIAL+Z8_CODPOST+Z8_CODIGO                                                                                                                                  ; Cod.Posto+Codigo                                                      ;
 SZ9; 1; Z9_FILIAL+Z9_PRODUTO                                                                                                                                            ; Produto                                                               ;
 SZA; 1; ZA_FILIAL+ZA_PRODUTO+ZA_PRODSIM                                                                                                                                 ; Produto+Prod.Similar                                                  ;
 SZB; 1; ZB_FILIAL+ZB_CODPOST+ZB_LOCALID+ZB_CC+ZB_CODIGO                                                                                                                 ; Cod.Posto+Localidade+C.Custo+Codigo                                   ;
 SZC; 1; ZC_FILIAL+ZC_DOC+ZC_SERIE+ZC_CLIENTE+ZC_LOJA+ZC_CODPOST                                                                                                         ; Documento+Serie+Cliente+Loja+Cod.Posto                                ;
 SZC; 2; ZC_FILIAL+ZC_CODPOST+ZC_DOC+ZC_SERIE+ZC_CLIENTE+ZC_LOJA                                                                                                         ; Cod.Posto+Documento+Serie+Cliente+Loja                                ;
 SZD; 1; ZD_FILIAL+ZD_DOC+ZD_SERIE+ZD_CLIENTE+ZD_LOJA+ZD_ITEM                                                                                                            ; Documento+Serie+Cliente+Loja+Item                                     ;
 SZE; 1; ZE_FILIAL+ZE_CODIGO+ZE_ITREC                                                                                                                                    ; Codigo+Item                                                           ;
 SZF; 1; ZF_FILIAL+ZF_CODPOST+ZF_LOCALID+ZF_PRODUTO+ZF_LOCAL                                                                                                             ; Cod.Posto+Localidade+Produto+Armazem                                  ;
 SZF; 2; ZF_FILIAL+ZF_NUMSEQ                                                                                                                                             ; Num.Seq.                                                              ;
 SZF; 3; ZF_FILIAL+ZF_PRODUTO+ZF_LOCAL+ZF_CODPOST+ZF_LOCALID                                                                                                             ; Produto+Armazem+Cod.Posto+Localidade                                  ;
 SZF; 4; ZF_FILIAL+ZF_DESCRI+ZF_LOCAL                                                                                                                                    ; Descricao+Armazem                                                     ;
 SZG; 1; ZG_FILIAL+ZG_LOCALID                                                                                                                                            ; Localidade                                                            ;
 SZH; 1; ZH_FILIAL+ZH_CODPOST+ZH_LOCALID+ZH_DOC                                                                                                                          ; Cod.Posto+Localidade+Documento                                        ;
 SZH; 2; ZH_FILIAL+ZH_DOC                                                                                                                                                ; Documento                                                             ;
 SZI; 1; ZI_FILIAL+ZI_CODPOST+ZI_LOCALID+ZI_DOC+ZI_ITEM                                                                                                                  ; Cod.Posto+Localidade+Documento+Item                                   ;
 SZI; 2; ZI_FILIAL+ZI_NUMSEQ+ZI_ITEM                                                                                                                                     ; NUm.Seq.+Item                                                         ;
 SZI; 3; ZI_FILIAL+ZI_DOCSUBS+ZI_ITEM                                                                                                                                    ; Doc.Subst.+Item                                                       ;
 SZI; 4; ZI_FILIAL+ZI_PATRIM                                                                                                                                             ; Patrimonio                                                            ;
 SZI; 5; ZI_FILIAL+ZI_ISSI+ZI_DOC+ZI_ITEM                                                                                                                                ; ISSI+Documento+Item                                                   ;
 SZI; 6; ZI_FILIAL+ZI_ISSI+ZI_STATUS                                                                                                                                     ; ISSI+Status                                                           ;
 SZJ; 1; ZJ_FILIAL+ZJ_CODPOST+ZJ_LOCALID+ZJ_PRODUTO+ZJ_PATRIM                                                                                                            ; Cod.Posto+Localidade+Produto+Patrimonio                               ;
